# Every line that begins with # is a comment
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Vertices: Index, Square
0,11
1,44
2,90
3,83
4,88
5,97
6,56
7,7
8,76
9,4
10,70
11,67
12,2
13,55
14,65
15,77
16,11
17,6
18,82
19,10
20,53
21,10
22,66
23,86
24,39
25,73
26,47
27,80
28,50
29,59
30,87
31,42
32,15
33,56
34,91
35,50
36,16
37,89
38,9
39,16
40,22
41,10
42,62
43,53
44,93
45,74
46,7
47,81
48,73
49,19
50,86
51,42
52,37
53,46
54,12
55,52
56,12
57,74
58,22
59,10
60,15
61,23
62,75
63,42
64,59
65,6
66,48
67,68
68,72
69,77
70,30
71,12
72,52
73,69
74,96
75,37
76,72
77,6
78,33
79,69
80,72
81,74
82,86
83,88
84,2
85,82
86,93
87,17
88,79
89,97
90,60
91,25
92,43
93,56
94,8
95,73
96,77
97,61
98,90
99,18
100,29
101,17
102,58
103,77
104,5
105,29
106,78
107,87
108,44
109,85
110,58
111,95
112,45
113,24
114,33
115,15
116,43
117,66
118,99
119,67
120,72
121,83
122,88
123,21
124,53
125,96
126,94
127,87
128,72
129,12
130,99
131,6
132,45
133,19
134,62
135,39
136,74
137,81
138,51
139,19
140,67
141,38
142,9
143,78
144,47
145,73
146,37
147,12
148,80
149,52
150,39
151,85
152,46
153,51
154,91
155,12
156,70
157,71
158,5
159,94
160,29
161,20
162,69
163,91
164,14
165,74
166,11
167,81
168,0
169,92
170,43
171,13
172,38
173,3
174,15
175,35
176,31
177,75
178,18
179,70
180,53
181,0
182,91
183,55
184,7
185,27
186,77
187,38
188,16
189,62
190,28
191,93
192,1
193,7
194,62
195,5
196,55
197,64
198,74
199,3
200,87
201,98
202,73
203,88
204,39
205,31
206,73
207,32
208,4
209,98
210,27
211,23
212,60
213,5
214,69
215,24
216,99
217,2
218,73
219,16
220,20
221,24
222,69
223,48
224,91
225,51
226,87
227,21
228,55
229,93
230,68
231,74
232,52
233,15
234,56
235,62
236,38
237,18
238,49
239,33
240,81
241,1
242,88
243,4
244,82
245,5
246,99
247,26
248,11
249,92
250,57
251,70
252,5
253,82
254,7
255,16
256,19
257,68
258,87
259,64
260,80
261,88
262,10
263,94
264,77
265,78
266,50
267,72
268,27
269,61
270,71
271,91
272,80
273,47
274,87
275,52
276,9
277,10
278,15
279,55
280,35
281,6
282,89
283,19
284,76
285,96
286,94
287,56
288,92
289,50
290,2
291,2
292,22
293,39
294,89
295,76
296,28
297,65
298,24
299,18
300,53
301,18
302,78
303,42
304,98
305,22
306,91
307,75
308,73
309,49
310,97
311,2
312,28
313,80
314,63
315,69
316,30
317,69
318,22
319,11
320,25
321,42
322,25
323,89
324,71
325,61
326,88
327,39
328,0
329,70
330,6
331,89
332,59
333,50
334,84
335,20
336,64
337,52
338,40
339,59
340,93
341,11
342,35
343,17
344,44
345,68
346,55
347,97
348,7
349,31
350,19
351,49
352,8
353,3
354,97
355,35
356,26
357,85
358,56
359,10
360,85
361,21
362,45
363,20
364,43
365,91
366,20
367,46
368,76
369,3
370,76
371,68
372,83
373,55
374,53
375,49
376,88
377,47
378,1
379,20
380,48
381,95
382,67
383,91
384,80
385,44
386,53
387,59
388,31
389,13
390,51
391,86
392,27
393,83
394,88
395,17
396,60
397,45
398,12
399,57
400,28
401,4
402,98
403,68
404,8
405,15
406,85
407,39
408,71
409,54
410,30
411,37
412,73
413,29
414,1
