# Edges: fromIndex, toIndex, edgeCost
0,15,20
0,19,8
0,34,71
0,49,99
0,70,31
0,77,41
0,84,46
0,92,53
1,10,15
1,31,38
1,32,32
1,42,74
1,48,14
1,57,52
1,61,82
1,62,29
1,65,65
1,74,42
2,6,29
2,16,100
2,40,33
2,47,36
2,48,12
2,83,82
2,84,56
3,4,36
3,5,9
3,11,63
3,24,69
3,53,63
3,59,34
3,76,33
3,77,42
4,10,8
4,18,64
4,26,19
4,27,32
4,42,59
4,48,24
4,88,46
4,90,65
5,22,5
5,53,70
5,69,83
5,70,25
5,73,12
5,82,81
5,83,84
6,23,90
6,25,36
6,33,30
6,45,92
6,58,14
6,59,41
6,64,86
6,65,43
7,15,79
7,29,82
7,35,12
7,36,79
7,42,99
7,43,93
7,64,83
7,68,54
7,71,78
7,91,46
7,93,75
7,94,33
7,95,65
7,99,65
8,16,64
8,26,12
8,35,47
8,36,31
8,40,30
8,53,50
8,57,45
8,58,34
8,59,11
8,66,60
8,68,43
8,91,34
8,99,17
9,25,68
9,37,42
9,42,78
9,47,60
9,66,67
9,90,31
9,94,37
9,95,45
10,17,65
10,46,49
10,58,23
10,62,17
10,65,50
10,76,32
10,88,43
10,92,31
10,96,71
11,16,108
11,42,88
11,60,87
11,68,87
11,90,83
12,24,89
12,43,38
12,59,54
12,61,78
12,63,51
12,94,92
13,18,27
13,33,5
13,43,12
13,45,101
13,51,103
13,62,50
13,72,55
13,76,30
13,93,44
13,94,91
14,17,77
14,23,45
14,30,40
14,49,24
14,57,52
14,58,33
14,96,83
14,98,79
15,23,83
15,29,4
15,33,46
15,44,70
15,48,78
15,54,56
15,64,25
15,69,44
15,77,26
15,89,27
16,17,72
16,26,76
16,40,91
16,47,79
16,71,42
16,76,94
16,94,47
16,98,15
17,21,94
17,36,44
17,64,64
17,65,18
17,93,43
17,96,8
17,98,61
18,38,66
18,40,96
18,43,39
18,59,58
18,66,67
18,71,35
18,80,71
19,21,83
19,31,44
19,33,67
19,56,78
19,72,15
19,88,29
19,90,61
19,94,54
19,96,57
19,97,45
20,27,44
20,39,28
20,43,48
20,46,45
20,51,65
20,55,31
20,59,24
20,73,28
20,82,47
20,90,53
20,95,7
21,27,67
21,33,80
21,35,25
21,40,11
21,44,39
21,67,84
21,70,70
21,85,76
21,89,57
21,92,60
21,95,54
21,99,42
22,26,57
22,37,82
22,47,17
22,55,10
22,57,4
22,84,14
23,28,96
23,37,46
23,56,15
23,57,95
23,79,40
23,85,102
23,88,80
24,28,75
24,54,26
24,58,57
24,80,64
24,81,63
24,83,33
25,36,25
25,50,69
25,57,13
25,80,61
25,85,14
25,93,28
25,98,54
26,28,69
26,37,56
26,38,13
26,51,56
26,55,56
26,60,57
26,62,21
26,63,26
26,78,50
26,87,75
27,31,38
27,48,53
27,52,94
27,59,38
27,70,35
27,89,65
28,31,37
28,48,86
28,57,40
28,62,49
28,64,31
28,79,64
28,88,17
28,95,28
28,98,28
29,30,18
29,42,20
29,65,23
29,80,34
29,86,85
29,92,32
29,98,27
30,36,31
30,37,47
30,38,29
30,53,72
30,62,22
30,71,10
30,77,15
30,78,9
30,86,69
30,88,9
30,94,53
31,49,52
31,82,41
31,89,28
32,38,21
32,50,56
32,56,21
32,58,51
32,59,23
32,65,63
32,66,55
32,88,45
32,92,49
33,38,52
33,45,104
33,59,47
33,68,73
33,89,68
34,41,37
34,46,11
34,49,52
34,65,77
34,71,60
34,81,71
34,83,21
34,90,14
34,94,21
34,97,26
35,49,47
35,70,87
35,78,81
35,79,37
35,87,108
35,97,51
35,98,98
36,38,27
36,40,52
36,60,53
36,69,85
36,91,56
37,40,66
37,49,77
37,62,43
37,99,59
38,48,33
38,50,67
38,51,58
38,52,58
38,63,13
38,69,72
38,78,37
38,79,13
38,86,50
38,97,49
39,47,72
39,57,66
39,60,14
39,69,21
39,73,51
39,74,78
39,86,80
39,93,26
40,46,50
40,50,89
40,53,40
40,62,38
40,67,86
40,74,30
40,80,87
40,85,75
40,92,61
40,95,59
41,52,34
41,55,58
41,68,0
41,76,80
42,71,20
42,73,14
42,86,101
42,87,4
43,58,26
43,62,46
43,69,95
43,95,43
43,99,28
44,67,93
44,71,72
44,81,85
44,83,21
44,87,97
44,91,36
44,94,19
45,66,73
45,73,93
45,87,104
46,48,66
46,55,72
46,61,38
46,65,74
46,90,8
46,97,14
47,59,34
47,76,16
47,81,7
47,95,38
48,53,19
48,59,44
48,72,80
48,91,68
48,94,77
49,59,45
49,61,94
49,86,50
49,87,93
49,94,73
50,64,18
50,68,21
50,75,37
50,82,48
51,82,19
51,97,27
51,98,78
52,85,98
52,89,37
53,73,75
53,96,96
